country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1970,Unknown,365552194.0,,8.377,0.023,302.406,24.689,8.89,1421.348,45.475,3.305,3.894,1.931,2.45,0.829,0.411,0.521,140.097,0.384,71.392,4.1579999999999995,0.299,110.861,5245.538,55265.551,3761.956,156.857,17.842,91345.047,1198.021,20.2635,2443.656,1.294,54.935,0.151,0.816,0.002,1.962,5.779,1127.192,3.088,706.155,1.932,215.68,0.59,98.18,0.269,0.067,1.3525,893.035,2.906,2.03,6.902,2.459,2.604,1.233,5.691,1.274,6.146,0.075,16.602,1.211,0.543,19.779,0.046,19.796,1.444,0.838,7.734,0.017,0.03,0.05,0.003,2112.525,717.209,1.518,8.701
Africa,1971,Unknown,375326467.0,,8.982,0.024,331.613,29.207,9.658,1385.271,-36.077,-2.538,3.697,1.797,2.234,0.885,0.43,0.535,149.906,0.4,71.392,4.1579999999999995,0.299,119.843,5577.151,56650.82,3911.863,212.833,19.535,92406.742,1313.077,20.2635,2541.196,1.294,55.976,0.149,1.693,0.005,1.999,5.468,1061.704,2.833,672.358,1.791,181.264,0.483,115.056,0.307,0.067,1.3525,953.168,2.963,2.139,6.717,2.63,2.628,1.265,5.713,1.3,7.407,0.076,16.641,1.238,0.543,17.413,0.088,20.744,1.598,0.838,7.771,0.018,0.03,0.052,0.003,2052.459,750.334,1.518,8.701
Africa,1972,Unknown,385312221.0,,9.559,0.025,351.688,20.075,6.054,1329.316,-55.954,-4.039,3.455,1.654,2.036,0.914,0.438,0.539,153.924,0.4,71.392,4.1579999999999995,0.299,129.402,5928.839,57980.137,4065.786,277.483,23.949,93388.625,1432.218,20.2635,2618.036,1.294,64.65,0.168,4.414,0.011,2.05,5.342,981.886,2.552,694.849,1.803,185.416,0.481,119.141,0.31,0.067,1.3525,1007.763,2.975,2.168,6.15,2.705,2.651,1.297,5.722,1.326,8.617,0.086,16.656,1.258,0.543,18.636,0.215,18.215,1.534,0.838,7.804,0.019,0.031,0.053,0.004,2058.444,790.005,1.518,8.701
Africa,1973,Unknown,395821972.0,,10.113,0.026,377.821,26.133,7.431,1338.851,9.535,0.717,3.388,1.6,1.926,0.956,0.452,0.543,154.291,0.39,71.392,4.1579999999999995,0.299,139.516,6306.66,59318.988,4220.077,357.489,29.309,94353.375,1560.269,20.2635,2761.8,1.294,80.006,0.202,5.36,0.014,2.125,5.33,964.741,2.441,726.676,1.836,193.386,0.489,128.051,0.324,0.067,1.3525,1091.498,2.972,2.211,5.996,2.632,2.672,1.33,5.728,1.35,9.869,0.097,16.672,1.278,0.543,19.893,0.243,18.397,1.557,0.838,7.836,0.02,0.031,0.055,0.004,2109.666,840.993,1.518,8.701
Africa,1974,Unknown,406870347.0,,10.547,0.026,388.183,10.362,2.743,1399.516,60.666,4.531,3.445,1.587,1.913,0.956,0.44,0.531,157.241,0.387,71.392,4.1579999999999995,0.299,150.062,6694.843,60718.504,4377.318,438.851,34.421,95368.805,1694.191,20.2635,2822.004,1.294,81.362,0.2,5.111,0.013,2.091,5.191,1015.439,2.5,706.88,1.737,177.343,0.436,133.922,0.33,0.067,1.3525,1145.929,3.095,2.282,6.319,2.683,2.698,1.363,5.74,1.375,10.933,0.106,16.7,1.301,0.543,20.789,0.226,19.762,1.652,0.838,7.862,0.02,0.032,0.056,0.004,2111.944,850.674,1.518,8.701
Africa,1975,Unknown,418433494.0,,10.6,0.025,387.017,-1.166,-0.3,1380.497,-19.02,-1.359,3.304,1.555,1.747,0.926,0.436,0.49,162.187,0.388,71.392,4.1579999999999995,0.299,160.662,7081.86,62099.0,4539.505,503.16,40.843,96365.609,1837.69,20.2635,2908.514,1.294,64.309,0.154,6.422,0.015,1.96,5.048,996.801,2.386,694.603,1.66,192.363,0.46,143.499,0.343,0.067,1.3525,1214.47,3.117,2.27,6.243,2.687,2.722,1.393,5.75,1.399,11.565,0.118,16.726,1.329,0.543,19.099,0.285,19.702,1.785,0.838,7.883,0.021,0.032,0.057,0.004,2112.277,820.277,1.518,8.701
Africa,1976,Unknown,430496972.0,,10.874,0.025,419.915,32.898,8.5,1377.491,-3.006,-0.218,3.204,1.458,1.613,0.977,0.445,0.492,171.906,0.4,71.392,4.1579999999999995,0.299,171.537,7501.775,63476.496,4711.411,580.96,49.728,97325.281,1988.139,20.2635,3070.085,1.294,77.8,0.181,8.885,0.021,2.105,5.062,959.672,2.232,744.673,1.73,190.502,0.443,150.449,0.35,0.067,1.3525,1318.827,3.053,2.334,5.97,2.746,2.741,1.425,5.755,1.425,12.241,0.134,16.745,1.355,0.543,19.675,0.372,18.876,1.762,0.838,7.91,0.022,0.033,0.059,0.004,2179.39,906.053,1.518,8.701
Africa,1977,Unknown,442660474.0,,11.641,0.026,432.919,13.004,3.097,1498.085,120.594,8.755,3.389,1.528,1.675,0.979,0.441,0.484,176.693,0.4,71.392,4.1579999999999995,0.299,183.177,7934.694,64974.578,4888.104,652.509,63.397,98392.539,2147.505,20.2635,3150.411,1.294,71.549,0.162,13.669,0.031,2.11,5.178,1067.252,2.415,780.365,1.763,207.787,0.469,159.366,0.361,0.067,1.3525,1391.542,3.122,2.34,6.239,2.755,2.762,1.456,5.765,1.45,12.726,0.161,16.769,1.38,0.543,18.756,0.56,19.356,1.803,0.838,7.943,0.023,0.034,0.061,0.004,2292.256,934.059,1.518,8.701
Africa,1978,Unknown,455539246.0,,12.367,0.027,462.339,29.42,6.796,1372.18,-125.905,-8.404,3.017,1.362,1.485,1.016,0.459,0.5,178.676,0.393,71.392,4.1579999999999995,0.299,195.544,8397.032,66346.758,5066.78,724.215,97.832,99305.023,2312.661,20.2635,3179.803,1.294,71.706,0.158,34.434,0.076,2.102,4.88,912.488,2.006,775.239,1.702,206.074,0.452,165.156,0.363,0.067,1.3525,1445.103,3.107,2.425,5.605,2.74,2.782,1.489,5.762,1.475,13.125,0.233,16.77,1.404,0.543,18.377,1.35,16.857,1.804,0.838,7.965,0.024,0.034,0.062,0.004,2222.878,957.46,1.518,8.701
Africa,1979,Unknown,469198447.0,,13.382,0.029,498.987,36.648,7.927,1280.779,-91.402,-6.661,2.734,1.211,1.28,1.065,0.472,0.499,197.363,0.421,71.392,4.1579999999999995,0.299,208.926,8896.02,67627.539,5264.143,811.934,117.489,100088.789,2493.528,20.2635,3364.423,1.294,87.719,0.187,19.657,0.042,2.221,4.897,783.77,1.673,852.117,1.816,231.206,0.493,180.866,0.386,0.067,1.3525,1574.47,3.314,2.545,5.272,2.89,2.811,1.525,5.752,1.502,13.813,0.263,16.77,1.433,0.543,24.356,0.731,16.723,1.95,0.838,8.002,0.025,0.035,0.064,0.004,2297.843,1042.198,1.518,8.701
